Primary DBID	Systematic Name	Standard Name	Name	Feature Type	Function Summary	Description	Gene Summary
S000006202	YPL281C	ERR2	Enolase-Related Repeat	ORF		"Enolase, a phosphopyruvate hydratase; catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate; complements the growth defect of an ENO1 ENO2 double mutant"	
S000006203	YPL282C	PAU22	seriPAUperin	ORF	Protein whose biological role is unknown; localizes to the vacuole	"Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole, while mCherry fusion localizes to just the vacuole; identical to Pau21p; encodes two proteins that are translated from two different start codons"	
S000006204	YPL283C	YRF1-7		ORF	DNA helicase involved in telomere maintenance via recombination	Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p	
S000006205	YPR001W	CIT3	CITrate synthase	ORF	"Protein with 2-methylcitrate synthase and citrate (Si)-synthase activities; involved in breakdown of propionate in the 2-methylcitrate cycle, and in conversion of oxaloacetate to citrate in the tricarboxylic acid cycle; localized to mitochondria"	Dual specificity mitochondrial citrate and methylcitrate synthase; catalyzes the condensation of acetyl-CoA and oxaloacetate to form citrate and that of propionyl-CoA and oxaloacetate to form 2-methylcitrate	
S000006206	YPR002W	PDH1	prpD Homolog	ORF	A protein involved in propionate metabolism with an unknown cellular localization	"Putative 2-methylcitrate dehydratase; mitochondrial protein that participates in respiration; induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate"	
S000006207	YPR003C			ORF	Predicted integral membrane protein whose biological role is unknown; localizes to the endoplasmic reticulum in a large-scale study	Putative sulfate permease; physically interacts with Hsp82p; green fluorescent protein (GFP)-fusion protein localizes to the ER; YPR003C is not an essential gene	
S000006208	YPR004C	AIM45	Altered Inheritance rate of Mitochondria	ORF	Protein whose biological role is unknown; localized to mitochondria	"Putative ortholog of mammalian ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response; ETF-alpha is an electron transfer flavoprotein complex subunit"	
S000006209	YPR005C	HAL1	HALotolerance	ORF	Cytoplasmic protein involved in salinity response and upregulation of transcription	"Cytoplasmic protein involved in halotolerance; decreases intracellular Na+ (via Ena1p) and increases intracellular K+ by decreasing efflux; expression repressed by Ssn6p-Tup1p and Sko1p and induced by NaCl, KCl, and sorbitol through Gcn4p"	
S000006210	YPR006C	ICL2	IsoCitrate Lyase	ORF		2-methylisocitrate lyase of the mitochondrial matrix; functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol	
S000006211	YPR007C	REC8	RECombination	ORF	"Chromatin-binding protein involved in synaptonemal complex assembly, meiotic sister chromatid cohesion, and reciprocal meiotic recombination; localizes all along chromosomes, with concentrations near centromeres"	"Meiosis-specific component of the sister chromatid cohesion complex; alpha-kleisin family member that maintains cohesion between homologous chromosomes during meiosis I until chromosome arm-associated Rec8p is cleaved by Esp1p; cohesion between sister chromatid centromeres is maintained until metaphase of meiosis II when it is cleaved by Esp1; independent of the role in cohesion, Rec8p promotes allelic collisions and prevents nonspecific chromosome interactions; homolog of S. pombe Rec8p"	
S000006212	YPR008W	HAA1	Homolog of Ace1 Activator	ORF		"Transcriptional activator involved in adaptation to weak acid stress; activates transcription of TPO2, YRO2, and other genes encoding membrane stress proteins; HAA1 has a paralog, CUP2, that arose from the whole genome duplication; relocalizes from cytoplasm to nucleus upon DNA replication stress"	
S000006213	YPR009W	SUT2	Sterol UpTake	ORF		"Zn2Cys6 family transcription factor; positively regulates sterol uptake under anaerobic conditions with SUT1; represses filamentation-inducing genes during non-starvation conditions; positively regulates mating along with SUT1 by repressing the expression of genes (PRR2, NCE102 and RHO5) which function as mating inhibitors; multicopy suppressor of mutations that cause low activity of the cAMP/PKA pathway; SUT2 has a paralog, SUT1, that arose from the whole genome duplication"	
S000006214	YPR010C	RPA135	RNA Polymerase A	ORF		RNA polymerase I second largest subunit A135	
S000006215	YPR011C	MRX21	Mitochondrial oRganization of gene eXpression (MIOREX)	ORF		"Mitochondrial transporter; major substrates are adenosine 5'-phosphosulfate (APS) and 3'-phospho-adenosine 5'-phosphosulfate (PAPS); member of the mitochondrial carrier family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	
S000006216	YPR012W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YPR012W is not an essential gene"	
S000006217	YPR013C	CMR3	Changed Mutation Rate	ORF	DNA-binding protein whose biological role is unknown	Putative zinc finger protein; YPR013C is not an essential gene	
S000006218	YPR014C			ORF		Putative protein of unknown function; conserved across S. cerevisiae strains; YPR014C is not an essential gene	
S000006219	YPR015C			ORF		Putative zinc finger transcription factor; binds DNA in sequence-specific manner; overexpression causes a cell cycle delay or arrest	
S000006220	YPR016C	TIF6	Translation Initiation Factor	ORF	"Protein that binds ribosomal large subunit and is involved in biogenesis and maturation of LSU-ribosomal RNA (rRNA) and 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); contributes to ribosomal subunit export from nucleus"	Constituent of 66S pre-ribosomal particles; has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits	
S000006221	YPR017C	DSS4	Dominant Suppressor of Sec4	ORF	Guanyl-nucleotide exchange facto;r involved in post-Golgi vesicle-mediated transport; localizes throughout cytosol and membranes	"Guanine nucleotide dissociation stimulator for Sec4p; functions in the post-Golgi secretory pathway; binds zinc, found both on membranes and in the cytosol"	
S000006222	YPR018W	RLF2	Rap1 protein Localization Factor	ORF	"Subunit of the chromatin assembly factor 1 (CAF-1) complex, which promotes histone H3 and H4 deposition onto newly synthesized DNA during replication or DNA repair; localizes to the centromeric region of chromosomes"	"Largest subunit (p90) of the Chromatin Assembly Complex (CAF-1); chromatin assembly by CAF-1 is important for multiple processes including histone H3/H4 tetramerization, silencing at telomeres, mating type loci and rDNA, maintenance of kinetochore structure, deactivation of  DNA damage checkpoint after DNA repair, chromatin dynamics during transcription, and repression of divergent noncoding transcription"	
S000006223	YPR019W	MCM4	MiniChromosome Maintenance	ORF	Component of the MCM mini-chromosome maintenance complex involved in initiation and regulation of DNA replication; also involved in pre-replicative complex assembly and double-strand break repair; binds DNA replication origins and single-stranded DNA	Essential helicase component of heterohexameric MCM2-7 complexes; MCM2-7 complexes bind pre-replication complexes on DNA and melt DNA prior to replication; forms an Mcm4p-6p-7p subcomplex; shows nuclear accumulation in G1; homolog of S. pombe Cdc21p	
S000006224	YPR020W	ATP20	ATP synthase	ORF	"Subunit of F0 coupling factor of mitochondrial F1F0 ATP synthase; also has role in formation of dimers and oligomers of the ATP synthase complex, which is localized to mitochondrial inner membrane"	"Subunit g of the mitochondrial F1F0 ATP synthase; reversibly phosphorylated on two residues; unphosphorylated form is required for dimerization of the ATP synthase complex, which in turn determines oligomerization of the complex and the shape of inner membrane cristae"	
S000006225	YPR021C	AGC1	Aspartate-Glutamate Carrier	ORF	Transporter protein that moves aspartate and glutamate across membranes; involved in synthesis of nitrogen-containing compounds; localizes to mitochondrial inner membrane and vacuole-mitochondrion membrane contact site	Mitochondrial amino acid transporter; acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis; human homolog SLC25A13 complements yeast null mutant	
S000006226	YPR022C	SDD4	Suppressor of Degenerative Death	ORF	Protein predicted by computational studies to act in transcription regulation 	"Putative transcription factor, as suggested by computational analysis; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS; overproduction of a truncation allele suppresses lethality due to expression of the dominant PET9 allele AAC2-A128P"	
S000006227	YPR023C	EAF3	Esa1p-Associated Factor	ORF	"Methylated histone binding protein involved in DNA repair, histone acetylation and deacetylation as well as regulation of RNA stability; subunit of NuA4 histone acetyltransferase complex"	"Component of the Rpd3S histone deacetylase complex; Esa1p-associated factor, nonessential component of the NuA4 acetyltransferase complex, homologous to Drosophila dosage compensation protein MSL3; plays a role in regulating Ty1 transposition"	
S000006228	YPR024W	YME1	Yeast Mitochondrial Escape	ORF	"ATP-dependent peptidase of the inner mitochondrial membrane; subunit of the i-AAA complex involved in mitochondrial protein turnover; also involved in protein import, folding and maturation"	Catalytic subunit of i-AAA protease complex; complex is located in mitochondrial inner membrane; responsible for degradation of unfolded or misfolded mitochondrial gene products; serves as nonconventional translocation motor to pull PNPase into intermembrane space; also has role in intermembrane space protein folding; mutation causes elevated rate of mitochondrial turnover; human homolog YME1L1 can complement yeast null mutant	
S000006229	YPR025C	CCL1		ORF	Cyclin that acts as regulator of a protein kinase component of the transcription factor holo TFIIH complex; stimulates phosphorylation of RNA polymerase II C-terminal domain and positively regulates transcription by Polymerase II; localized to the nucleus	"Cyclin partner of the cyclin-dependent kinase (CDK) Kin28p; regulates the activity of Kin28p, a TFIIH-associated carboxy-terminal domain (CTD) kinase that facilitates recruitment of mRNA 5'-capping and polyadenylation factors to the RNAPII holoenzyme complex, and has a minor role in RNAPII transcription; subunit of TFIIK, a TFIIH subassembly;  human homolog CCNH allows growth of a yeast ccl1 temperature-sensitive mutant at restrictive temperature"	
S000006230	YPR026W	ATH1	Acid TreHalase	ORF	"Alpha,alpha-trehalase involved in trehalose catabolism and responses to desiccation, freezing, and ethanol; localizes to cell wall, cell wall-bounded periplasmic space, and vacuole"	Acid trehalase required for utilization of extracellular trehalose; involved in intracellular trehalose degradation during growth recovery after saline stress	
S000006231	YPR027C			ORF	Protein whose biological role is unknown; localizes to the endoplasmic reticulum	"Putative protein of unknown function; SWAT-GFP and seamless-GFP fusion proteins localize to the endoplasmic reticulum, while the mCherry fusion protein localizes to the vacuole"	
S000006232	YPR028W	YOP1	YIP One Partner	ORF	"Protein involved in endoplasmic reticulum (ER) organization and inheritance, vesicle-mediated transport, and ER-dependent peroxisome organization; localizes to cell periphery, bud tip, and ER tubular network"	Reticulon-interacting protein; ER integral membrane protein involved in the generation of tubular ER morphology; promotes membrane curvature; forms tubules in vitro; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Yip1p to mediate membrane traffic and with Sey1p to maintain ER morphology; facilitates lipid exchange between the ER and mitochondria; forms ER foci upon DNA replication stress	
S000006233	YPR029C	APL4	clathrin Adaptor Protein complex Large chain	ORF	Subunit of the AP-1 adaptor complex that binds clathrin and functions in vesicle  mediated transport	Gamma-adaptin; large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in vesicle mediated transport	
S000006234	YPR030W	CSR2	Chs5 Spa2 Rescue	ORF	Protein that binds E3 ubiquitin ligase Rsp5p; implicated in regulation of transcription and cell wall organization; localized to the nucleus	"Nuclear ubiquitin protein ligase binding protein; may regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p; CSR2 has a paralog, ECM21, that arose from the whole genome duplication"	
S000006235	YPR031W	NTO1	NuA Three Orf	ORF		Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3	
S000006236	YPR032W	SRO7	Suppressor of rho3	ORF	"Protein that binds SNARE and Rab GTPase; involved in small GTPase mediated signal transduction, establishment of cell polarity, Golgi to plasma membrane transport and exocytosis; localizes to cytosol, plasma membrane, mating projection tips"	"Effector of Rab GTPase Sec4p; forms a complex with Sec4p and t-SNARE Sec9p; involved in exocytosis and docking and fusion of post-Golgi vesicles with plasma membrane; regulates cell proliferation and colony development via the Rho1-Tor1 pathway; homolog of Drosophila lgl tumor suppressor; SRO7 has a paralog, SRO77, that arose from the whole genome duplication"	
S000006237	YPR033C	HTS1	Histidine-Trna Synthetase	ORF	Histidine tRNA synthetase that catalyzes histidyl-tRNA aminoacylation through the coupling of histidine to histidyl-tRNA; localizes to both the mitochondria and cytoplasm	Cytoplasmic and mitochondrial histidine tRNA synthetase; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence; mutations in human ortholog HARS2 are associated with Perrault syndrome	
S000006238	YPR034W	ARP7	Actin-Related Protein	ORF	"Subunit of both the RSC and SWI/SNF chromatin remodeling complexes, slides along DNA affecting nucleosome positioning and transcription regulation"	Component of both the SWI/SNF and RSC chromatin remodeling complexes; actin-related protein involved in transcriptional regulation	
S000006239	YPR035W	GLN1	GLutamiNe metabolism	ORF	Glutamate-ammonia ligase involved in glutamine biosynthesis; localizes to nuclear periphery	"Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"	
S000006240	YPR036W	VMA13	Vacuolar Membrane Atpase	ORF		Subunit H of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; serves as an activator or a structural stabilizer of the V-ATPase; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits	
S000006241	YPR037C	ERV2	Essential for Respiration and Viability	ORF	Flavin-linked sulfhydryl oxidase with role in protein folding in endoplasmic reticulum; integral component of endoplasmic reticulum membrane	Flavin-linked sulfhydryl oxidase localized to the ER lumen; involved in disulfide bond formation within the endoplasmic reticulum (ER)	
S000006242	YPR038W	IRC16	Increased Recombination Centers	ORF		"Putative protein of unknown function; partially overlaps verified gene ERV2/YPR037C but doesn't share phenotypes; also overlaps dubious ORF YPR039W; null mutant displays increased levels of spontaneous Rad52p foci, increased biofilm information, different altered sensitivities to various chemcicals"	
S000006243	YPR039W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified non essential genes ERV2/YPR037C and TIP41/YPR040W"	
S000006244	YPR040W	TIP41	Tap42 Interacting Protein	ORF		"Tap42p-interacting protein; negative regulator of the TORC1 signaling pathway that activates the type 2A-related phosphatase Sit4p by binding and antagonizing Tap42p, a SIT4 inhibitor; proposed to be part of a feedback loop to amplify Sit4p activity when TORC1 is inactivated; protein abundance increases in response to DNA replication stress"	
S000006245	YPR041W	TIF5	Translation Initiation Factor	ORF	"Translation initiation factor; functionas a GTPase-activator and GDP-dissociation inhibitor; involved in negative regulation of translational initiation, mature ribosome assembly, and formation of cytoplasmic translation initiation complex; subunit of the multi-eIF complex; localizes to the cytosolic small ribosomal subunit and the 48S preinitiation complex"	"Translation initiation factor eIF5; functions as both a GTPase-activating protein (GAP) that stimulates the hydrolysis of GTP bound to eIF-2, as part of the 43S preinitiation complex, and as a GDP dissociation inhibitor (GDI) to prevent recycling of eIF2; human ortholog eIF5 complements the yeast null mutant"	
S000006246	YPR042C	PUF2	PUmilio-homology domain Family	ORF	Cytoplasmic mRNA-binding protein involved in deadenylation-dependent nuclear-transcribed mRNA catabolism	"PUF family mRNA-binding protein; Pumilio homology domain confers RNA binding activity; preferentially binds mRNAs encoding membrane-associated proteins; binding site composed of two UAAU tetranucleotides, separated by a 3-nt linker; PUF2 has a paralog, JSN1, that arose from the whole genome duplication"	
S000006247	YPR043W	RPL43A	Ribosomal Protein of the Large subunit	ORF	Subunit of the cytosolic large ribosomal subunit; involved in translation	"Ribosomal 60S subunit protein L43A; null mutation confers a dominant lethal phenotype; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43A has a paralog, RPL43B, that arose from the whole genome duplication"	
S000006248	YPR044C	OPI11	OverProducer of Inositol	ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; largely overlaps verified gene RPL43A/YPR043W; deletion confers sensitivity to GSAO"	
S000006249	YPR045C	THP3	THO-related Protein	ORF		Protein that may have a role in transcription elongation; forms a complex with Csn12p that is recruited to transcribed genes; possibly involved in splicing based on pre-mRNA accumulation defect for many intron-containing genes	
S000006250	YPR046W	MCM16	MiniChromosome Maintenance	ORF		Component of the Ctf19 complex and the COMA subcomplex; involved in kinetochore-microtubule mediated chromosome segregation; binds to centromere DNA; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-H and fission yeast fta3	
S000006251	YPR047W	MSF1	"Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)"	ORF	Mitochondrial phenylalanyl-tRNA synthetase that catalyzes phenylalanyl-tRNA aminoacylation through the coupling of phenylalanine to phenylalanyl-tRNA	"Mitochondrial phenylalanyl-tRNA synthetase; active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase"	
S000006252	YPR048W	TAH18	Top1T722A mutant Hypersensitive	ORF	Mitochondrial oxidoreductase involved in the formation of nitrogen monoxide and the incorporation of iron and exogenous sulfur into metallo-sulfur clusters	Conserved NAPDH-dependent diflavin reductase; component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery; transfers electrons from NADPH to the Fe-S cluster of Dre2p; plays a pro-death role under oxidative stress; Tah18p-dependent nitric oxide synthesis confers high-temperature stress tolerance; possible target for development of antifungal drugs	
S000006253	YPR049C	ATG11	AuTophaGy related	ORF	Scaffold protein that is involved in localizing proteins to the pre-autophagosomal structure (PAS)	Adapter protein for pexophagy and the Cvt targeting pathway; directs receptor-bound cargo to the phagophore assembly site (PAS) for packaging into vesicles; required for recruiting other proteins to the PAS; recruits Dnm1p to facilitate fission of mitochondria that are destined for removal by mitophagy	
S000006254	YPR050C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps verified ORF MAK3/YPR051W"	
S000006255	YPR051W	MAK3	MAintenance of Killer	ORF		"Catalytic subunit of the NatC type N-terminal acetyltransferase (NAT); involved in subcellular targeting of select N-terminally acetylated substrates to the Golgi apparatus (Arl3p and Grh1p) and the inner nuclear membrane (Trm1p); required for replication of dsRNA virus; human NatC ortholog, NAA30, functionally complements the null, requiring either auxiliary subunit Mak10p or co-expression of human ortholog, NAA35; NAA60, the human NatF gene, also complements the null allele"	
S000006256	YPR052C	NHP6A	Non-Histone Protein	ORF	"DNA and nucleosome-binding protein involved in chromatin remodeling, assembly of the RNA polymerase II and III pre-initiation complexes, and maintenance of transcriptional fidelity; localizes in the nucleus"	"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"	
S000006257	YPR053C			ORF		Putative protein of unknown function; conserved among S. cerevisiae strains; YPR053C is not an essential gene; partially overlaps verified ORF NHP6A/YPR052C	
S000006258	YPR054W	SMK1		ORF	MAP kinase involved in regulation of sporulation and spore wall assembly; autophosphorylates	Middle sporulation-specific mitogen-activated protein kinase (MAPK); required for prospore membrane development and the production of outer spore wall layers; negatively regulates activity of the glucan synthase subunit Gsc2p; activated by Cak1p-mediated phosphorylation of threonine (T207) in the activation loop during meiosis I followed by Ssp2p-promoted autophosphorylation of tyrosine (T209) during meiosis II	
S000006259	YPR055W	SEC8	SECretory	ORF	Subunit of the exocyst complex which mediates the targeting and tethering of post-Golgi secretory vesicles containing exocytic cargo to sites of exocytosis at the plasma membrane; involved in ER and Golgi inheritance; localizes to sites of polarized growth	Essential 121 kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion; involved in ER and Golgi inheritance in small buds; relocalizes away from bud neck upon DNA replication stress	
S000006260	YPR056W	TFB4	Transcription Factor B subunit 4	ORF		"Subunit of TFIIH complex; involved in transcription initiation, similar to 34 kDa subunit of human TFIIH; interacts with Ssl1p"	
S000006261	YPR057W	BRR1	Bad Response to Refrigeration	ORF	Subunit of small nuclear ribonucleoprotein complex; involved in the assembly of spliceosomal complex 	snRNP protein component of spliceosomal snRNPs; required for pre-mRNA splicing and snRNP biogenesis; in null mutant newly-synthesized snRNAs are destabilized and 3'-end processing is slowed	
S000006262	YPR058W	YMC1	Yeast Mitochondrial Carrier	ORF	Glycine transmembrane transporter involved in mitochondrial glycine import which is required for heme biosynthesis; localizes to mitochondria and vacuole	"Secondary mitochondrial inner membrane glycine transporter; required with HEM25 for the transport of glycine into mitochondria for the initiation of heme biosynthesis; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; localizes to the vacuole in response to H2O2; YMC1 has a paralog, YMC2, that arose from the whole genome duplication"	
S000006263	YPR059C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YMC1/YPR058W"	
S000006264	YPR060C	ARO7	AROmatic amino acid requiring	ORF	"Chorismate mutase, converts chorismate to prephenate; part of phenylalanine and tyrosine biosynthetic pathways"	Chorismate mutase; catalyzes the conversion of chorismate to prephenate to initiate the tyrosine/phenylalanine-specific branch of aromatic amino acid biosynthesis	
S000006265	YPR061C	JID1	DnaJ protein Involved in ER-associated Degradation	ORF	Protein whose biological role is unknown; localizes to the mitochondrion in different large-scale studies	Probable Hsp40p co-chaperone; has a DnaJ-like domain and appears to be involved in ER-associated degradation of misfolded proteins containing a tightly folded cytoplasmic domain; inhibits replication of Brome mosaic virus in S. cerevisiae	
S000006266	YPR062W	FCY1	FluoroCYtosine resistance	ORF		Cytosine deaminase; zinc metalloenzyme that catalyzes the hydrolytic deamination of cytosine to uracil; of biomedical interest because it also catalyzes the deamination of 5-fluorocytosine (5FC) to form anticancer drug 5-fluorouracil (5FU)	
S000006267	YPR063C			ORF	Protein whose biological role is unknown; localizes to the endoplasmic reticulum in a large-scale study	ER-localized protein of unknown function	
S000006268	YPR064W			ORF		Putative protein of unknown function; conserved among S. cerevisiae strains; YPR064W is not an essential gene	
S000006269	YPR065W	ROX1	Regulation by OXygen	ORF	Transcription factor that represses expression of hypoxia-induced genes in the presence of oxygen; also represses target genes during osmotic stress	Heme-dependent repressor of hypoxic genes; mediates aerobic transcriptional repression of hypoxia induced genes such as COX5b and CYC7; repressor function regulated through decreased promoter occupancy in response to oxidative stress; contains an HMG domain that is responsible for DNA bending activity; involved in the hyperosmotic stress resistance	
S000006270	YPR066W	UBA3	UBiquitin-like protein-Activating enzyme	ORF	NEDD8 (Rub1) activating enzyme involved in protein neddylation	Protein that activates Rub1p (NEDD8) before neddylation; acts together with Ula1p; may play a role in protein degradation; GFP-fusion protein localizes to the cytoplasm in a punctate pattern 	
S000006271	YPR067W	ISA2	Iron Sulfur Assembly	ORF		"Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa1p and possibly Iba57p; localizes to the mitochondrial intermembrane space, overexpression of ISA2 suppresses grx5 mutations"	
S000006272	YPR068C	HOS1	Hda One Similar	ORF		"Class I histone deacetylase (HDAC) family member; deacetylates Smc3p on lysine residues at anaphase onset; has sequence similarity to Hda1p, Rpd3p, Hos2p, and Hos3p; interacts with the Tup1p-Ssn6p corepressor complex"	
S000006273	YPR069C	SPE3	SPErmidine auxotroph	ORF	Spermidine synthase involved in spermidine and pantothenate biosynthesis; localized to nucleus and cytoplasm in large-scale studies	Spermidine synthase; involved in biosynthesis of spermidine and also in biosynthesis of pantothenic acid; spermidine is required for growth of wild-type cells	
S000006274	YPR070W	MED1	MEDiator complex	ORF		Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	
S000006275	YPR071W			ORF	Predicted integral membrane protein whose biological role is unknown	"Putative membrane protein; YPR071W is not an essential gene; YPR071W has a paralog, YIL029C, that arose from a single-locus duplication"	
S000006276	YPR072W	NOT5	Negative On TATA	ORF		"Component of the CCR4-NOT core complex, involved in mRNA decapping; involved intranscription initiation and elongation and in mRNA degradation; conserved lysine in human homolog of Not5p and Not3p is mutated in cancers"	
S000006277	YPR073C	LTP1	Low molecular weight protein Tyrosine Phosphatase	ORF	Protein tyrosine kinase that localizes to both nucleus and cytoplasm	Protein phosphotyrosine phosphatase of unknown cellular role; activated by adenine	
S000006278	YPR074C	TKL1	TransKetoLase	ORF	Transketolase involved in the pentose-phosphate shunt	"Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL1 has a paralog, TKL2, that arose from the whole genome duplication"	
S000006279	YPR075C	OPY2	Overproduction-induced Pheromone-resistant Yeast	ORF	"Protein involved in osmosensory signaling, protein localization to plasma membrane, and upregulation of filamentous growth in response to starvation; integral to plasma membrane, also localizes to cytoplasm, endoplasmic reticulum, and vacuole membrane"	Integral membrane protein that acts as a membrane anchor for Ste50p; involved in the signaling branch of the high-osmolarity glycerol (HOG) pathway and as a regulator of the filamentous growth pathway; overproduction blocks cell cycle arrest in the presence of mating pheromone; relocalizes from vacuole to plasma membrane upon DNA replication stress	
S000006280	YPR076W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000006281	YPR077C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; expression increased by deletion of NAP1"	
S000006282	YPR078C			ORF	Protein whose biological role and cellular location are unknown	Putative protein of unknown function; possible role in DNA metabolism and/or in genome stability; expression is heat-inducible	
S000006283	YPR079W	MRL1	Mannose 6-phosphate Receptor Like	ORF	"Signal sequence-binding protein involved in directed movement of substances into, out of or within a vacuole; localizes to cytoplasm and late endosome"	Membrane protein; has similarity to mammalian mannose-6-phosphate receptors; possibly functions as a sorting receptor in the delivery of vacuolar hydrolases; protein abundance increases in response to DNA replication stress	
S000006284	YPR080W	TEF1	Translation Elongation Factor	ORF	"GTP- and GDP-binding translation elongation factor; subunit of translation elongation factor 1 complex that binds GTP and aminoacyl-tRNAs, and catalyzes their codon-dependent placement at the A-site of the ribosome; involved in the transport of tRNAs from nucleus to cytoplasm; moonlighting role as an actin filament bundling; associates with the Rho1p GTPase in the vacuole membrane; also localizes to mitochondria and vacuolar membranes"	"Translational elongation factor EF-1 alpha; GTP-bound active form, binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; moonlighting function as an actin binding and bundling protein; association with GTPase Rho1p on the vacuolar membrane may facilitate F-actin remodeling; involved in tRNA re-export from the nucleus"	
S000006285	YPR081C	GRS2	Glycyl-tRNA Synthase	ORF		"Glycine-tRNA synthetase, not expressed under normal growth conditions; expression is induced under heat, oxidative, pH, or ethanol stress conditions; more stable than the major glycine-tRNA synthetase Grs1p at 37 deg C; GRS2 has a paralog, GRS1, that arose from the whole genome duplication"	
S000006286	YPR082C	DIB1	S. pombe DIm1+ in Budding yeast	ORF	Subunit of the U4/U6 x U5 tri-small nuclear RNP (snRNP) complex involved in messenger RNA (mRNA) splicing via spliceosome; localizes to U5 snRNP	17-kDa component of the U4/U6aU5 tri-snRNP; plays an essential role in pre-mRNA splicing; human ortholog TXNL4A (the human U5-specific 15-kDa protein) complements yeast dib1 null mutant	
S000006287	YPR083W	MDM36	Mitochondrial Distribution and Morphology	ORF	"Protein involved in mitochondrion inheritance, organization, localization and fission; localizes to both cytoplasm and mitochondrion"	Mitochondrial protein; required for normal mitochondrial morphology and inheritance; component of the mitochondria-ER-cortex-anchor (MECA); interacts with Num1p to link the ER and mitochondria at the cell cortex; proposed involvement in the formation of Dnm1p and Num1p-containing cortical anchor complexes that promote mitochondrial fission	
